Age_Anciennete;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
20;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;18.27
21;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;18.27
22;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;18.27
23;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;20.72
24;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;23.26
25;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;25.88
26;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;28.59
27;0.71;0.66;0.58;0.48;0.38;0.27;0.18;0.1;0.04;0;0;0;0;0.03;0.07;0.11;0.16;0.2;0.24;0.28;0.3;0.33;0.34;0.36;0.38;0.42;0.48;0.59;0.75;0.98;1.32;1.79;2.42;3.25;4.33;31.38
28;0.77;0.77;0.72;0.63;0.53;0.42;0.31;0.22;0.15;0.09;0.06;0.05;0.06;0.09;0.13;0.19;0.25;0.31;0.37;0.43;0.49;0.54;0.59;0.64;0.7;0.78;0.88;1.02;1.22;1.5;1.88;2.39;3.07;3.96;5.09;34.25
29;0.86;0.89;0.86;0.78;0.67;0.56;0.45;0.35;0.27;0.22;0.19;0.18;0.19;0.23;0.29;0.35;0.43;0.51;0.6;0.68;0.76;0.84;0.92;1;1.08;1.19;1.31;1.49;1.71;2.03;2.44;3;3.73;4.67;5.88;37.21
30;0.96;1.02;1;0.92;0.82;0.71;0.59;0.49;0.41;0.36;0.33;0.33;0.35;0.4;0.47;0.55;0.65;0.76;0.86;0.97;1.08;1.19;1.29;1.4;1.51;1.64;1.79;1.99;2.25;2.59;3.04;3.63;4.4;5.4;6.66;40.25
31;1.07;1.15;1.14;1.08;0.98;0.87;0.76;0.67;0.59;0.54;0.52;0.53;0.57;0.64;0.72;0.83;0.95;1.08;1.21;1.34;1.47;1.59;1.71;1.84;1.96;2.11;2.28;2.49;2.77;3.13;3.62;4.25;5.08;6.15;7.51;43.37
32;1.18;1.29;1.3;1.24;1.15;1.05;0.94;0.85;0.79;0.75;0.74;0.77;0.82;0.91;1.02;1.15;1.29;1.44;1.6;1.75;1.9;2.04;2.18;2.31;2.45;2.61;2.79;3.02;3.31;3.7;4.21;4.89;5.77;6.91;8.37;46.58
33;1.3;1.43;1.46;1.41;1.33;1.23;1.13;1.05;0.99;0.96;0.97;1.01;1.09;1.2;1.33;1.49;1.65;1.83;2.01;2.18;2.35;2.51;2.67;2.82;2.98;3.15;3.34;3.58;3.89;4.3;4.84;5.55;6.48;7.68;9.23;49.87
34;1.42;1.58;1.62;1.59;1.52;1.43;1.34;1.27;1.23;1.22;1.25;1.32;1.42;1.55;1.71;1.89;2.09;2.29;2.49;2.69;2.87;3.05;3.21;3.37;3.53;3.7;3.9;4.15;4.47;4.89;5.45;6.2;7.19;8.48;10.14;53.24
35;1.55;1.73;1.79;1.78;1.72;1.64;1.56;1.51;1.48;1.49;1.54;1.63;1.76;1.92;2.11;2.32;2.55;2.77;3;3.22;3.42;3.61;3.79;3.96;4.12;4.3;4.5;4.75;5.07;5.51;6.1;6.88;7.92;9.29;11.05;56.7
36;1.68;1.89;1.97;1.97;1.92;1.85;1.79;1.75;1.75;1.78;1.86;1.98;2.14;2.33;2.55;2.8;3.05;3.31;3.56;3.8;4.02;4.22;4.41;4.58;4.75;4.92;5.12;5.37;5.7;6.15;6.75;7.57;8.67;10.11;11.98;60.24
37;1.68;1.89;1.98;1.99;1.96;1.92;1.89;1.89;1.92;2;2.13;2.3;2.51;2.75;3.03;3.31;3.61;3.9;4.18;4.45;4.69;4.9;5.09;5.26;5.42;5.58;5.77;6.01;6.33;6.78;7.4;8.26;9.42;10.95;12.96;63.87
38;1.97;2.22;2.34;2.37;2.36;2.32;2.3;2.3;2.35;2.43;2.57;2.76;2.99;3.25;3.54;3.85;4.17;4.49;4.79;5.07;5.33;5.56;5.76;5.94;6.1;6.27;6.46;6.69;7.02;7.48;8.11;9;10.2;11.8;13.89;67.58
39;2.12;2.4;2.54;2.58;2.59;2.57;2.57;2.6;2.67;2.79;2.97;3.19;3.46;3.76;4.09;4.44;4.79;5.14;5.47;5.77;6.05;6.29;6.49;6.67;6.83;6.98;7.16;7.39;7.71;8.17;8.82;9.73;10.98;12.66;14.87;71.37
40;2.28;2.58;2.74;2.81;2.83;2.84;2.86;2.92;3.03;3.19;3.4;3.67;3.98;4.33;4.71;5.1;5.49;5.87;6.22;6.55;6.83;7.07;7.28;7.44;7.59;7.72;7.88;8.09;8.4;8.85;9.51;10.46;11.77;13.55;15.9;75.25
41;2.45;2.77;2.95;3.04;3.08;3.12;3.17;3.26;3.41;3.61;3.87;4.18;4.55;4.94;5.36;5.8;6.22;6.63;7.02;7.36;7.66;7.9;8.1;8.25;8.38;8.49;8.63;8.82;9.11;9.55;10.23;11.2;12.58;14.45;16.96;79.21
42;2.62;2.98;3.19;3.31;3.39;3.47;3.56;3.7;3.88;4.12;4.42;4.78;5.17;5.61;6.06;6.52;6.97;7.4;7.8;8.16;8.46;8.71;8.91;9.06;9.18;9.29;9.41;9.6;9.88;10.33;11.01;12.01;13.42;15.35;17.93;83.25
43;2.79;3.16;3.38;3.51;3.61;3.7;3.82;3.99;4.21;4.51;4.86;5.28;5.74;6.24;6.76;7.28;7.79;8.27;8.71;9.09;9.41;9.66;9.85;9.98;10.07;10.14;10.22;10.36;10.61;11.03;11.71;12.74;14.23;16.29;19.08;87.38
44;2.97;3.37;3.61;3.76;3.88;4.01;4.16;4.37;4.65;4.99;5.4;5.87;6.39;6.94;7.52;8.09;8.64;9.16;9.63;10.03;10.36;10.61;10.79;10.9;10.96;11;11.05;11.16;11.38;11.79;12.47;13.53;15.07;17.24;20.18;91.59
45;3.16;3.58;3.84;4.02;4.17;4.32;4.51;4.76;5.09;5.48;5.94;6.47;7.05;7.66;8.29;8.91;9.51;10.06;10.56;10.98;11.33;11.58;11.75;11.85;11.89;11.9;11.92;12;12.19;12.59;13.27;14.34;15.94;18.19;21.26;95.89
46;3.35;3.79;4.08;4.29;4.47;4.66;4.9;5.2;5.58;6.04;6.57;7.16;7.8;8.48;9.17;9.84;10.49;11.08;11.61;12.04;12.39;12.64;12.79;12.85;12.85;12.81;12.78;12.82;12.97;13.35;14.03;15.13;16.8;19.18;22.45;100.26
47;3.53;3.94;4.19;4.36;4.51;4.68;4.93;5.26;5.69;6.22;6.84;7.54;8.31;9.12;9.94;10.74;11.51;12.2;12.81;13.31;13.68;13.93;14.05;14.06;13.98;13.84;13.69;13.61;13.66;13.95;14.6;15.75;17.57;20.22;23.94;104.73
48;3.74;4.29;4.75;5.16;5.56;5.97;6.42;6.91;7.44;8.02;8.65;9.3;9.97;10.65;11.31;11.94;12.53;13.05;13.51;13.88;14.17;14.37;14.5;14.55;14.57;14.57;14.59;14.68;14.91;15.35;16.08;17.2;18.83;21.1;24.16;109.27
49;3.97;4.47;4.83;5.12;5.4;5.72;6.1;6.57;7.13;7.78;8.51;9.32;10.17;11.05;11.93;12.78;13.58;14.29;14.91;15.4;15.76;15.99;16.08;16.06;15.94;15.76;15.59;15.48;15.51;15.8;16.46;17.63;19.48;22.21;26.01;113.9
50;4.18;4.71;5.1;5.42;5.74;6.1;6.54;7.07;7.7;8.42;9.24;10.12;11.06;12.01;12.96;13.88;14.72;15.48;16.12;16.63;16.99;17.2;17.27;17.2;17.03;16.8;16.56;16.39;16.37;16.62;17.27;18.47;20.4;23.26;27.27;118.61
51;4.41;4.95;5.37;5.72;6.07;6.48;6.97;7.56;8.25;9.04;9.93;10.89;11.9;12.93;13.95;14.92;15.83;16.63;17.31;17.84;18.21;18.42;18.47;18.37;18.17;17.89;17.6;17.38;17.32;17.53;18.16;19.37;21.34;24.29;28.45;123.41
52;4.63;5.2;5.64;6.03;6.43;6.88;7.43;8.08;8.85;9.73;10.7;11.75;12.84;13.95;15.04;16.09;17.05;17.89;18.6;19.15;19.52;19.71;19.73;19.59;19.33;18.99;18.63;18.34;18.22;18.4;19.02;20.24;22.28;25.36;29.74;128.29
53;4.85;5.42;5.87;6.28;6.71;7.21;7.82;8.55;9.4;10.37;11.44;12.59;13.78;14.99;16.18;17.3;18.33;19.24;19.98;20.55;20.92;21.09;21.07;20.88;20.54;20.12;19.68;19.31;19.12;19.24;19.84;21.09;23.22;26.47;31.11;133.25
54;5.11;5.72;6.21;6.67;7.15;7.72;8.39;9.19;10.12;11.16;12.31;13.54;14.81;16.09;17.34;18.53;19.61;20.54;21.31;21.89;22.26;22.42;22.37;22.14;21.76;21.28;20.78;20.35;20.11;20.19;20.77;22.03;24.21;27.56;32.36;138.3
55;5.35;5.99;6.51;7;7.53;8.15;8.89;9.76;10.77;11.91;13.15;14.47;15.83;17.2;18.53;19.79;20.93;21.92;22.72;23.32;23.69;23.83;23.74;23.46;23.02;22.47;21.9;21.4;21.09;21.12;21.68;22.96;25.2;28.67;33.68;143.43
56;5.6;6.26;6.81;7.33;7.91;8.59;9.4;10.36;11.45;12.68;14.02;15.44;16.9;18.36;19.78;21.12;22.32;23.36;24.19;24.8;25.17;25.29;25.17;24.83;24.32;23.69;23.04;22.45;22.07;22.06;22.58;23.88;26.19;29.8;35.04;148.65
57;5.86;6.54;7.11;7.68;8.31;9.05;9.93;10.97;12.15;13.48;14.92;16.44;18;19.55;21.06;22.47;23.74;24.83;25.7;26.32;26.69;26.78;26.62;26.23;25.65;24.95;24.21;23.54;23.09;23.01;23.51;24.82;27.2;30.95;36.41;153.95
58;6.12;6.82;7.43;8.03;8.72;9.52;10.48;11.6;12.88;14.31;15.86;17.49;19.15;20.81;22.41;23.9;25.24;26.37;27.28;27.91;28.27;28.34;28.13;27.67;27.01;26.22;25.39;24.63;24.1;23.96;24.43;25.76;28.22;32.12;37.84;159.33
59;6.39;7.11;7.75;8.4;9.13;10;11.04;12.25;13.64;15.17;16.83;18.57;20.34;22.1;23.8;25.37;26.77;27.96;28.9;29.55;29.89;29.93;29.68;29.15;28.41;27.53;26.6;25.74;25.12;24.93;25.37;26.71;29.24;33.31;39.29;164.79
60;6.67;7.41;8.07;8.76;9.55;10.49;11.61;12.91;14.39;16.04;17.8;19.65;21.53;23.4;25.19;26.85;28.32;29.56;30.53;31.2;31.54;31.55;31.25;30.66;29.85;28.87;27.85;26.9;26.2;25.93;26.34;27.69;30.29;34.5;40.72;170.34
61;6.95;7.71;8.4;9.13;9.98;10.99;12.18;13.58;15.16;16.91;18.79;20.75;22.74;24.71;26.6;28.35;29.89;31.19;32.2;32.88;33.22;33.21;32.86;32.21;31.31;30.25;29.13;28.09;27.3;26.97;27.34;28.69;31.36;35.7;42.14;175.98
62;7.24;8.01;8.74;9.52;10.43;11.51;12.8;14.3;15.99;17.86;19.86;21.95;24.07;26.15;28.14;29.98;31.6;32.95;33.99;34.68;35;34.95;34.54;33.81;32.81;31.64;30.4;29.25;28.36;27.95;28.29;29.66;32.42;36.95;43.69;181.69
